installationidentifier,account_holder,registry_code,installation_name,year,allocated,verified_emiss,nacerev2,ln_emissions,inst_num,firm_num,treated,post_2009,post_2010,post_2011,post_2012,post_2013,post_2014,post_2015,post_2016,post_2017,post,post_treated,post_2009_treated,post_2010_treated,post_2011_treated,post_2012_treated,post_2013_treated,post_2014_treated,post_2015_treated,post_2016_treated,post_2017_treated,fuel_type,gas,coal,one_inst_firm,coal_one_inst_firm,gas_one_inst_firm,coal_multi_inst,gas_multi_inst
32,"Salzburg AG für Energie, Verkehr und Telekommunikation",AT,Salzburg AG FHKW Mitte Salzburg,2009,181423,172716,35.30,12.05940390605067,218,132,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,gas,1,0,0,0,0,0,1
32,"Salzburg AG für Energie, Verkehr und Telekommunikation",AT,Salzburg AG FHKW Mitte Salzburg,2010,181423,188359,35.30,12.146104995360599,218,132,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,gas,1,0,0,0,0,0,1
32,"Salzburg AG für Energie, Verkehr und Telekommunikation",AT,Salzburg AG FHKW Mitte Salzburg,2011,181423,173642,35.30,12.064750987430589,218,132,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,gas,1,0,0,0,0,0,1
32,"Salzburg AG für Energie, Verkehr und Telekommunikation",AT,Salzburg AG FHKW Mitte Salzburg,2012,181423,138093,35.30,11.835682650205394,218,132,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,gas,1,0,0,0,0,0,1
32,"Salzburg AG für Energie, Verkehr und Telekommunikation",AT,Salzburg AG FHKW Mitte Salzburg,2013,81174,137326,35.30,11.830112940179575,218,132,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,gas,1,0,0,0,0,0,1
32,"Salzburg AG für Energie, Verkehr und Telekommunikation",AT,Salzburg AG FHKW Mitte Salzburg,2014,72642,110340,35.30,11.611321786826421,218,132,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,gas,1,0,0,0,0,0,1
32,"Salzburg AG für Energie, Verkehr und Telekommunikation",AT,Salzburg AG FHKW Mitte Salzburg,2015,64353,126649,35.30,11.749174759622889,218,132,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,gas,1,0,0,0,0,0,1
32,"Salzburg AG für Energie, Verkehr und Telekommunikation",AT,Salzburg AG FHKW Mitte Salzburg,2016,56327,170029,35.30,12.043724289719174,218,132,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,gas,1,0,0,0,0,0,1
32,"Salzburg AG für Energie, Verkehr und Telekommunikation",AT,Salzburg AG FHKW Mitte Salzburg,2017,48552,171771,35.30,12.053917473352495,218,132,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,gas,1,0,0,0,0,0,1
33,"Salzburg AG für Energie, Verkehr und Telekommunikation",AT,Salzburg AG FHKW Nord Salzburg,2009,61991,56009,35.30,10.933267671089844,224,132,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,gas,1,0,0,0,0,0,1
33,"Salzburg AG für Energie, Verkehr und Telekommunikation",AT,Salzburg AG FHKW Nord Salzburg,2010,61991,53194,35.30,10.881700887014485,224,132,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,gas,1,0,0,0,0,0,1
33,"Salzburg AG für Energie, Verkehr und Telekommunikation",AT,Salzburg AG FHKW Nord Salzburg,2011,61991,41109,35.30,10.623982354614311,224,132,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,gas,1,0,0,0,0,0,1
