installationidentifier,account_holder,registry_code,installation_name,year,allocated,verified_emiss,nacerev2
41,AMAG Service GmbH,AT,AMAG Service Ranshofen,2009,9149,6849,35.00
41,AMAG Service GmbH,AT,AMAG Service Ranshofen,2010,9149,7221,35.00
41,AMAG Service GmbH,AT,AMAG Service Ranshofen,2011,9149,6445,35.00
41,AMAG Service GmbH,AT,AMAG Service Ranshofen,2012,9149,6435,35.00
41,AMAG Service GmbH,AT,AMAG Service Ranshofen,2013,389,7706,35.00
41,AMAG Service GmbH,AT,AMAG Service Ranshofen,2014,348,7093,35.00
41,AMAG Service GmbH,AT,AMAG Service Ranshofen,2015,308,5872,35.00
41,AMAG Service GmbH,AT,AMAG Service Ranshofen,2016,270,6618,35.00
41,AMAG Service GmbH,AT,AMAG Service Ranshofen,2017,232,6783,35.00
108,Energie Steiermark Wärme GmbH,AT,FHKW Thondorf,2009,89789,57343,35.30
108,Energie Steiermark Wärme GmbH,AT,FHKW Thondorf,2010,89789,67935,35.30
108,Energie Steiermark Wärme GmbH,AT,FHKW Thondorf,2011,89789,61734,35.30
108,Energie Steiermark Wärme GmbH,AT,FHKW Thondorf,2012,89789,47954,35.30
108,Energie Steiermark Wärme GmbH,AT,FHKW Thondorf,2013,17417,28440,35.30
108,Energie Steiermark Wärme GmbH,AT,FHKW Thondorf,2014,3897,15358,35.30
108,Energie Steiermark Wärme GmbH,AT,FHKW Thondorf,2015,0,14399,35.30
108,Energie Steiermark Wärme GmbH,AT,FHKW Thondorf,2016,0,14075,35.30
108,Energie Steiermark Wärme GmbH,AT,FHKW Thondorf,2017,0,16682,35.30
76,Energie AG Oberösterreich Kraftwerke GmbH,AT,KW Timelkam III,2009,6268,306,35.11
76,Energie AG Oberösterreich Kraftwerke GmbH,AT,KW Timelkam III,2010,6268,0,35.11
76,Energie AG Oberösterreich Kraftwerke GmbH,AT,KW Timelkam III,2011,6268,0,35.11
76,Energie AG Oberösterreich Kraftwerke GmbH,AT,KW Timelkam III,2012,6268,0,35.11
76,Energie AG Oberösterreich Kraftwerke GmbH,AT,KW Timelkam III,2013,NA,0,35.11
76,Energie AG Oberösterreich Kraftwerke GmbH,AT,KW Timelkam III,2014,NA,0,35.11
76,Energie AG Oberösterreich Kraftwerke GmbH,AT,KW Timelkam III,2015,NA,0,35.11
76,Energie AG Oberösterreich Kraftwerke GmbH,AT,KW Timelkam III,2016,NA,0,35.11
76,Energie AG Oberösterreich Kraftwerke GmbH,AT,KW Timelkam III,2017,NA,0,35.11
78,Energie AG Oberösterreich Wärme GmbH,AT,FW Kirchdorf,2009,13655,13785,35.30
78,Energie AG Oberösterreich Wärme GmbH,AT,FW Kirchdorf,2010,13655,15856,35.30
78,Energie AG Oberösterreich Wärme GmbH,AT,FW Kirchdorf,2011,13655,13961,35.30
