inst_num,treated,coal,coal_one_inst_firm,coal_multi_inst,gas,gas_one_inst_firm,gas_multi_inst,ln_emissions2009,ln_emissions2010,ln_emissions2011,ln_emissions2012,ln_emissions2013,ln_emissions2014,ln_emissions2015,ln_emissions2016,ln_emissions2017,avg_ln_emissions_2009_2012,pscore_r_coal,weight_coal,matched_control_coal,ps_diff_coal,pscore_r_coal_one_inst_firm,weight_coal_one_inst_firm,matched_control_coal_one_inst_firm,ps_diff_coal_one_inst_firm,pscore_r_coal_multi_inst,weight_coal_multi_inst,matched_control_coal_multi_inst,ps_diff_coal_multi_inst,pscore_r_gas,weight_gas,matched_control_gas,ps_diff_gas,pscore_r_gas_one_inst_firm,weight_gas_one_inst_firm,matched_control_gas_one_inst_firm,ps_diff_gas_one_inst_firm,pscore_r_gas_multi_inst,weight_gas_multi_inst,matched_control_gas_multi_inst,ps_diff_gas_multi_inst
6,0,1,0,1,0,0,0,17.198987590882727,17.20529607124743,17.30664449521756,17.376381738910286,17.431232184547937,17.423355049782842,17.427830730226013,17.36918928403116,17.443743108763545,17.2718274740645,0.8094037875726887,0,NA,NA,NA,NA,NA,NA,0.8478962028485731,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,0,1,0,1,0,0,0,15.818771808643259,15.728022723113652,15.74297301852197,15.648526807179683,15.659442243548114,15.675249496471789,15.577021450444372,15.593341473694423,15.652699311832748,15.734573589364642,0.6987901946799224,0.48,NA,NA,NA,NA,NA,NA,0.73617477471111,0.449438202247191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,1,1,0,1,0,0,0,14.639635999680582,14.85027386548524,14.119321606345856,13.498394182187305,14.12899414014779,13.883143972474855,12.784047442214954,13.639453339170002,13.143657049403409,14.276906413424745,0.5666625968197688,1,529,0.003550312258683297,NA,NA,NA,NA,0.5914573597500253,1,529,0.00400093975317517,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,0,1,0,1,0,0,0,16.268614400446946,16.18172319478203,16.19288312791064,16.20427720040296,16.11757451519066,15.912313145764154,15.843072317516768,15.874525387647578,15.776739628043309,16.211874480885644,0.7367732773430012,4.32,NA,NA,NA,NA,NA,NA,0.7757456430849986,4.044943820224719,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,0,1,0,1,0,0,0,14.402040878440578,14.217854132485206,14.489786797073961,14.297561945636195,13.929004408202228,13.968004151296054,14.031846993345507,14.080894105958304,14.070320204181495,14.351810938408985,0.5738819115437321,0.48,NA,NA,NA,NA,NA,NA,0.5995793063352285,1.797752808988764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,0,1,1,0,0,0,0,12.905373354241128,12.95250937663183,13.096095374538088,13.025764367415075,13.083144264249768,13.149877372004369,13.032206695488775,13.019158314865276,12.806465626982302,12.99493561820653,0.44128518773158465,0.48,NA,NA,0.4189267385605261,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,0,1,0,1,0,0,0,16.18451381071789,16.198359103496685,16.147564060765077,16.110623403119593,16.140883132865966,16.209826523587655,16.248554716315095,16.30093732246916,16.23078386334918,16.16026509452481,0.7328178774393426,0.48,NA,NA,NA,NA,NA,NA,0.7716781207286945,0.449438202247191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,0,1,1,0,0,0,0,15.61130869412029,15.802092015901618,15.771406822239559,15.675879625239398,15.532334353613912,15.626780781832469,15.655972885963454,15.86108994374413,15.765628129106917,15.715171789375216,0.6971816404610426,0,NA,NA,0.5847279189649596,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,1,1,1,0,0,0,0,13.460384414015392,13.536214557246419,13.489675149176513,13.41644542624703,13.384558396781447,13.279038867214698,13.246174430225715,13.265538618277459,13.323539399712814,13.475679886671339,0.48828400668193467,1,417,-7.889816046187104e-4,0.4479691340034151,1,417,-4.886072673147557e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,0,1,0,1,0,0,0,15.79572261187657,15.92321916990075,15.925364663541023,15.886507040301117,15.941976539172241,15.796059096687278,15.694730081289109,15.768654054598949,15.684865280753481,15.882703371404865,0.7109089128664215,0.96,NA,NA,NA,NA,NA,NA,0.748920497463677,0.898876404494382,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,0,1,1,0,0,0,0,14.02256944179605,14.008798430973602,13.91082891955331,13.814969411570972,14.222453240588035,14.231612230060644,14.262809628380525,14.22882742682996,14.190354933515767,13.939291550973483,0.5338144336096261,0,NA,NA,0.47631911869627647,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,0,1,0,1,0,0,0,13.918050900670043,14.015315060207554,13.996557970047164,13.72948415027853,13.889129910763,12.955699398458213,13.63221372574381,13.163973541237532,13.012702517394732,13.914852020300822,0.5314216664874958,0.96,NA,NA,NA,NA,NA,NA,0.5515684548785624,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,0,1,1,0,0,0,0,15.414855911431268,15.621535949960156,15.684637312960426,15.330115456732178,15.062880725699308,15.22980984478171,15.56639247557325,15.361317483993219,15.507096038221803,15.512786157771007,0.6801182256592079,0.96,NA,NA,0.5725859963327377,0.5833333333333334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,0,1,0,1,0,0,0,15.547205040417655,15.64332017453785,15.644388371660071,15.5942518235595,15.648821195800531,15.189425863766004,15.323815008148825,15.32279613635151,15.609458464149718,15.607291352543768,0.6881498378333338,0.48,NA,NA,NA,NA,NA,NA,0.7248967964044962,0.449438202247191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73,0,1,0,1,0,0,0,12.75928511879196,12.793550929554463,12.686976031019745,12.53490145976611,12.609198352705906,12.546206029109229,12.559921600119843,12.533940109913773,12.63874752073873,12.69367838478307,0.41230823831324104,0.48,NA,NA,NA,NA,NA,NA,0.4151496588848943,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75,0,1,1,0,0,0,0,14.576186004666852,14.682837910668145,14.855505957970204,14.356620157862857,14.523935437875437,14.649006465229514,14.71499240880863,14.764448909002573,14.580596466711455,14.617787507792015,0.599243715868426,0,NA,NA,0.5180344950155716,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
77,0,1,0,1,0,0,0,13.583161011210548,13.705169884101485,13.53033467572593,13.551890004696363,13.695432265219498,13.688963858336988,13.677083773868482,13.782281538708649,13.719159336464035,13.592638893933582,0.4997817675442294,1.44,NA,NA,NA,NA,NA,NA,0.5154854421400793,0.898876404494382,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81,0,1,0,1,0,0,0,15.32525144243063,15.398098412194978,15.443831459270463,15.20105463769346,15.196119035038729,15.05253199032992,15.14654244211364,15.12475107364185,15.17132509283019,15.342058987897383,0.665336792792767,1.92,NA,NA,NA,NA,NA,NA,0.700459153615558,1.797752808988764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83,0,1,1,0,0,0,0,12.268155027826717,12.442673243264297,12.567383825498306,12.626771134278927,12.220951405758642,11.65752784740375,11.187998326488534,11.106715079211655,11.288268268673225,12.476245807717062,0.39175361040831025,0.48,NA,NA,0.3882154864597929,1.1666666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
87,1,1,0,1,0,0,0,16.082059581440124,15.943684524051395,16.043949201141267,16.179677085471695,16.002154692635234,15.961277382946028,15.998267538056272,15.536390913582977,15.671341407986839,16.06234259802612,0.7252099913452466,1,30,-0.007607886094096017,NA,NA,NA,NA,0.7638185834268495,1,30,-0.007859537301844965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
91,0,1,0,1,0,0,0,14.734412677196532,15.163710191770832,15.158783371903901,15.081484448109972,14.922555855317102,14.730530082196257,14.884486324704076,14.539164634871796,14.44114305968628,15.03459767224531,0.637896298433092,1.92,NA,NA,NA,NA,NA,NA,0.6706392365579882,1.797752808988764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
96,1,1,0,1,0,0,0,16.374234423354693,16.475257446365642,16.47076739276501,16.505544842651364,16.388533848712587,16.28451544219224,16.172418671088224,16.01828846476093,16.005673818336096,16.456451026284178,0.7549992910390722,1,23,0.01822601369607091,NA,NA,NA,NA,0.7943164312685682,1,23,0.01857078818356961,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,0,1,0,1,0,0,0,14.356769746886211,14.536394979817889,14.654380575068563,14.4156939537807,14.379629335066191,14.086499827599306,14.412566904088344,14.28417579195853,14.24602268739733,14.49080981388834,0.5871933847102475,0.96,NA,NA,NA,NA,NA,NA,0.6145040029904181,1.797752808988764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
104,1,1,0,1,0,0,0,15.296292715369297,15.343625393401751,15.436209822675393,15.428242239978804,15.249950351649312,15.225368357812252,15.135428977589893,14.791006363396354,14.827516842013726,15.376092542856311,0.6683105868468632,1,81,0.002973794054096146,NA,NA,NA,NA,0.7036637658020422,1,81,0.003204612186484157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107,0,1,0,1,0,0,0,15.421429084619085,15.547765392539393,15.57901080346603,15.398554185785068,15.392283946391826,15.306516899488459,15.361334748169106,15.282629551743895,15.163578511445278,15.486689866602394,0.6778811890758641,0.48,NA,NA,NA,NA,NA,NA,0.7139390492603059,0.449438202247191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
111,1,1,0,1,0,0,0,15.31105184784554,15.045979713020092,14.93942145443235,14.990363566671155,14.691992115575866,14.838786684664798,14.700113286456068,14.456663672337669,14.780215002206392,15.071704145492284,0.6412604265056382,1,91,0.0033641280725461575,NA,NA,NA,NA,0.6743182706259712,1,91,0.003679034067982978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
114,0,1,0,1,0,0,0,13.600917843817136,13.500558688165876,13.528036463883492,13.592324505746914,13.474260324875926,13.448238231022131,13.546165987749351,13.057816322897015,12.896759301480659,13.555459375403355,0.49612619704100464,0.48,NA,NA,NA,NA,NA,NA,0.5113042614072709,0.449438202247191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
119,1,1,0,1,0,0,0,14.885094916786484,14.806814138182464,14.917410768820709,14.793114991831636,14.862082606683774,14.698739936821118,14.606305184792031,14.68210755757427,14.774671106139646,14.850608703905323,0.6210206898512265,1,760,0.005345003146404292,NA,NA,NA,NA,0.6520931560948149,1,760,0.00590426469400096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
123,1,1,0,1,0,0,0,14.444225345088238,14.602148081611558,14.457617043809632,14.445623685107332,14.189026689639018,14.556723831093258,14.288949529658257,14.258865365614849,14.636960359919154,14.48740353890419,0.5868686125626599,1,310,1.2101180070844819e-4,NA,NA,NA,NA,0.6141406991586293,1,100,-3.633038317887305e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
132,0,1,1,0,0,0,0,14.66829945781962,14.693995990514221,14.865052693269636,14.671347428441605,14.767461054950603,14.853296892049867,14.516669558014378,14.64871746264495,14.657353136752812,14.72467389251127,0.6092957746403661,0.96,NA,NA,0.5245980771531303,0.5833333333333334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
139,0,1,0,1,0,0,0,15.623844410094591,15.470889627617966,15.552824049017527,15.590972609465005,15.595846526757509,15.475634930699359,15.496582012244366,15.49542165900842,15.377095147256316,15.559632674048773,0.6841132616896531,0,NA,NA,NA,NA,NA,NA,0.7205977995625961,0.449438202247191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
144,0,1,0,1,0,0,0,13.702620656377613,13.612235808227267,13.36239708358729,13.352399917393146,13.42294193159113,13.454808946441542,13.350539046350475,13.347972686238306,13.37137582482587,13.507413366396328,0.49140287945552646,1.44,NA,NA,NA,NA,NA,NA,0.5058987840206436,0.898876404494382,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
154,0,1,0,1,0,0,0,15.219966494708968,15.201446854986866,15.22332934754334,15.017526548979244,15.199199026693964,15.23340338736478,15.178547806919866,15.050004807838091,14.863853939661539,15.165567311554604,0.6497077980925011,1.44,NA,NA,NA,NA,NA,NA,0.6835285283641143,0.898876404494382,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
155,1,1,1,0,0,0,0,14.857818068341913,14.297655186103738,14.574894348342784,14.97495513315952,14.83363342808729,14.809091906288277,15.100838623572873,14.997507042234757,15.136462875208647,14.67633068398699,0.6047603007805218,1,240,4.151482935293993e-4,0.5216303773648938,1,240,2.71126167304403e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
