inst_num,treated,coal,coal_one_inst_firm,coal_multi_inst,gas,gas_one_inst_firm,gas_multi_inst,ln_emissions2009,ln_emissions2010,ln_emissions2011,ln_emissions2012,ln_emissions2013,ln_emissions2014,ln_emissions2015,ln_emissions2016,ln_emissions2017,avg_ln_emissions_2009_2012
3,1,0,0,0,1,1,0,10.714151066523913,10.886127664951816,10.98617369065398,10.844041536545962,10.648230481739724,10.509686990445372,10.515478906135064,10.588678163379617,10.50848634631937,10.857623489668917
6,0,1,0,1,0,0,0,17.198987590882727,17.20529607124743,17.30664449521756,17.376381738910286,17.431232184547937,17.423355049782842,17.427830730226013,17.36918928403116,17.443743108763545,17.2718274740645
14,0,1,0,1,0,0,0,15.818771808643259,15.728022723113652,15.74297301852197,15.648526807179683,15.659442243548114,15.675249496471789,15.577021450444372,15.593341473694423,15.652699311832748,15.734573589364642
15,1,0,0,0,1,1,0,9.98109653186311,10.052683118897981,9.94712158955619,9.918770176067286,9.87039601753593,8.870382066070137,8.880724576151456,9.207335862955883,9.492808877375076,9.974917854096141
19,1,1,0,1,0,0,0,14.639635999680582,14.85027386548524,14.119321606345856,13.498394182187305,14.12899414014779,13.883143972474855,12.784047442214954,13.639453339170002,13.143657049403409,14.276906413424745
20,1,0,0,0,1,1,0,10.545157211213365,10.676115744586301,10.617882394259105,10.481448323286957,10.366214772811087,9.880116566212887,9.844957610345725,9.871067661280017,9.691840166360345,10.580150918336432
23,0,1,0,1,0,0,0,16.268614400446946,16.18172319478203,16.19288312791064,16.20427720040296,16.11757451519066,15.912313145764154,15.843072317516768,15.874525387647578,15.776739628043309,16.211874480885644
24,0,1,0,1,0,0,0,14.402040878440578,14.217854132485206,14.489786797073961,14.297561945636195,13.929004408202228,13.968004151296054,14.031846993345507,14.080894105958304,14.070320204181495,14.351810938408985
25,1,0,0,0,1,1,0,9.479451058842528,8.657650544111494,9.27453508401818,9.087381464575735,8.442038517815478,9.25167423546916,9.119977931895791,8.854950316500325,9.272657678041044,9.124754537886984
26,0,1,1,0,0,0,0,12.905373354241128,12.95250937663183,13.096095374538088,13.025764367415075,13.083144264249768,13.149877372004369,13.032206695488775,13.019158314865276,12.806465626982302,12.99493561820653
30,0,1,0,1,0,0,0,16.18451381071789,16.198359103496685,16.147564060765077,16.110623403119593,16.140883132865966,16.209826523587655,16.248554716315095,16.30093732246916,16.23078386334918,16.16026509452481
32,1,0,0,0,1,1,0,15.33572920326669,15.37896254068563,15.357971779338735,15.330158775118477,15.288460024283204,15.077085161153823,15.148150681968637,15.238304867002514,15.219998900261515,15.350705574602383
33,1,0,0,0,1,1,0,11.547500789609918,11.823383680611148,11.692117128755255,11.604775118600108,11.20561195056922,10.672414521272,10.97620066767855,11.408919586931974,11.406975886960348,11.666944179394108
36,0,1,1,0,0,0,0,15.61130869412029,15.802092015901618,15.771406822239559,15.675879625239398,15.532334353613912,15.626780781832469,15.655972885963454,15.86108994374413,15.765628129106917,15.715171789375216
37,1,1,1,0,0,0,0,13.460384414015392,13.536214557246419,13.489675149176513,13.41644542624703,13.384558396781447,13.279038867214698,13.246174430225715,13.265538618277459,13.323539399712814,13.475679886671339
43,1,0,0,0,1,1,0,13.64575017822221,13.422159774219123,13.54347608740501,13.47454162634716,13.330961657276502,13.454790299907394,13.430806441304039,13.197222210448587,13.214632574467666,13.521481916548375
44,1,0,0,0,1,1,0,12.655666275566746,12.7657084332656,12.67701333559725,12.55037131840085,12.460005309904263,12.647995036648675,12.646982114571532,12.829794718345392,12.863851682252328,12.662189840707612
45,0,1,0,1,0,0,0,15.79572261187657,15.92321916990075,15.925364663541023,15.886507040301117,15.941976539172241,15.796059096687278,15.694730081289109,15.768654054598949,15.684865280753481,15.882703371404865
52,1,0,0,0,1,1,0,13.278967046192653,13.661671496245717,13.608534357859106,13.330417656093891,13.614097920664669,13.349030314299108,13.518285764908313,13.513743083692,13.059059294034846,13.46989763909784
53,0,1,1,0,0,0,0,14.02256944179605,14.008798430973602,13.91082891955331,13.814969411570972,14.222453240588035,14.231612230060644,14.262809628380525,14.22882742682996,14.190354933515767,13.939291550973483
60,0,1,0,1,0,0,0,13.918050900670043,14.015315060207554,13.996557970047164,13.72948415027853,13.889129910763,12.955699398458213,13.63221372574381,13.163973541237532,13.012702517394732,13.914852020300822
62,0,1,1,0,0,0,0,15.414855911431268,15.621535949960156,15.684637312960426,15.330115456732178,15.062880725699308,15.22980984478171,15.56639247557325,15.361317483993219,15.507096038221803,15.512786157771007
