installationidentifier,account_holder,registry_code,installation_name,year,allocated,verified_emiss,nacerev2,ln_emissions,inst_num,firm_num,treated,post_2009,post_2010,post_2011,post_2012,post_2013,post_2014,post_2015,post_2016,post_2017,post,post_treated,post_2009_treated,post_2010_treated,post_2011_treated,post_2012_treated,post_2013_treated,post_2014_treated,post_2015_treated,post_2016_treated,post_2017_treated,fuel_type,gas,coal,one_inst_firm,coal_one_inst_firm,gas_one_inst_firm,coal_multi_inst,gas_multi_inst,final_electricity_consumption,RE,GDP,net_exports,Coal_EUR_MWh,Gas_EUR_MWh,EUA_price,ln_final_electricity_consumption,ln_RE,ln_GDP,net_ac_ext_inst,net_ac_tot_inst,annual_change_bank_inst,bank_inst,annual_change_bank_inst_1000,net_ac_ext_inst_1000
32,"Salzburg AG für Energie, Verkehr und Telekommunikation",AT,Salzburg AG FHKW Mitte Salzburg,2009,181423,172716,35.30,12.05940390605067,218,132,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,gas,1,0,0,0,0,0,1,59201.268,49949.919,290558.8,-0.7801859999999978,7.5909157,11.825696,13.213984,10.988698239561634,10.818776162453764,12.57956124443059,49473,49473,58180,77596,58.18,49.473
32,"Salzburg AG für Energie, Verkehr und Telekommunikation",AT,Salzburg AG FHKW Mitte Salzburg,2010,181423,188359,35.30,12.146104995360599,218,132,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,gas,1,0,0,0,0,0,1,62071.793,48174.578,295896.6,-2.4366229999999995,10.548177,16.942703,14.380888,11.036046945731261,10.78258673351405,12.597765347953919,527,25891,18955,96551,18.955,0.527
32,"Salzburg AG für Energie, Verkehr und Telekommunikation",AT,Salzburg AG FHKW Mitte Salzburg,2011,181423,173642,35.30,12.064750987430589,218,132,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,gas,1,0,0,0,0,0,1,62132.291,44409.141,304545.1,-8.19936,13.23881,22.179193,13.058799,11.037021116673731,10.70120060560865,12.626574466823097,93162,93162,100943,197494,100.943,93.162
32,"Salzburg AG für Energie, Verkehr und Telekommunikation",AT,Salzburg AG FHKW Mitte Salzburg,2012,181423,138093,35.30,11.835682650205394,218,132,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,gas,1,0,0,0,0,0,1,62952.105,55103.88,306617.4,-2.8029660000000005,11.098114,25.154446,7.3978295,11.050129478150904,10.916975410084683,12.633355995277258,172046,148863,10770,208264,10.77,172.046
32,"Salzburg AG für Energie, Verkehr und Telekommunikation",AT,Salzburg AG FHKW Mitte Salzburg,2013,81174,137326,35.30,11.830112940179575,218,132,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,gas,1,0,0,0,0,0,1,63546.708,54171.606,306695.6,-7.270453999999998,9.4058161,27.330641,4.4753876,11.059530473544923,10.899912175618782,12.633611003732724,134430,134430,123626,331890,123.626,134.43
32,"Salzburg AG für Energie, Verkehr und Telekommunikation",AT,Salzburg AG FHKW Mitte Salzburg,2014,72642,110340,35.30,11.611321786826421,218,132,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,gas,1,0,0,0,0,0,1,62557.42,53803.531,308723.7,-9.274725000000002,8.6029577,21.172882,5.9741473,11.043840133959577,10.893094375966452,12.64020198110988,110340,110340,91647,423537,91.647,110.34
32,"Salzburg AG für Energie, Verkehr und Telekommunikation",AT,Salzburg AG FHKW Mitte Salzburg,2015,64353,126649,35.30,11.749174759622889,218,132,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,gas,1,0,0,0,0,0,1,63482.625,50803.337,311855.7,-10.061516,7.7217555,20.061985,7.6906977,11.058521525392196,10.835717320385525,12.650295859805507,98500,98500,28178,451715,28.178,98.5
32,"Salzburg AG für Energie, Verkehr und Telekommunikation",AT,Salzburg AG FHKW Mitte Salzburg,2016,56327,170029,35.30,12.043724289719174,218,132,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,gas,1,0,0,0,0,0,1,64427.642,53959.019,318350.4,-7.159271,8.1366539,14.393778,5.3516278,11.07329804360483,10.895980130023,12.670907941923101,-20000,-20000,-141477,310238,-141.477,-20
32,"Salzburg AG für Energie, Verkehr und Telekommunikation",AT,Salzburg AG FHKW Mitte Salzburg,2017,48552,171771,35.30,12.053917473352495,218,132,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,gas,1,0,0,0,0,0,1,65286.469,54735.94,326234.2,-6.545915000000001,11.171968,17.538269,5.8331394,11.086540080929264,10.910275811046075,12.695370807327539,82000,82000,-48741,261497,-48.741,82
33,"Salzburg AG für Energie, Verkehr und Telekommunikation",AT,Salzburg AG FHKW Nord Salzburg,2009,61991,56009,35.30,10.933267671089844,224,132,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,gas,1,0,0,0,0,0,1,59201.268,49949.919,290558.8,-0.7801859999999978,7.5909157,11.825696,13.213984,10.988698239561634,10.818776162453764,12.57956124443059,55000,55000,60982,78858,60.982,55
