installationidentifier,account_holder,registry_code,installation_name,year,allocated,verified_emiss,nacerev2,ln_emissions,inst_num,firm_num,treated,post_2009,post_2010,post_2011,post_2012,post_2013,post_2014,post_2015,post_2016,post_2017,post,post_treated,post_2009_treated,post_2010_treated,post_2011_treated,post_2012_treated,post_2013_treated,post_2014_treated,post_2015_treated,post_2016_treated,post_2017_treated
1,Enefit Energiatootmine AS,EE,Balti Elektrijaam,2009,1454336,1263972,35.11,14.049769701544848,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Enefit Energiatootmine AS,EE,Balti Elektrijaam,2010,1454336,2859684,35.11,14.866221687181131,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Enefit Energiatootmine AS,EE,Balti Elektrijaam,2011,2612394,3723698,35.11,15.130227818494536,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Enefit Energiatootmine AS,EE,Balti Elektrijaam,2012,2049855,1435324,35.11,14.176901165662619,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Enefit Energiatootmine AS,EE,Balti Elektrijaam,2013,1132820,2208958,35.11,14.60803146909339,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,Enefit Energiatootmine AS,EE,Balti Elektrijaam,2014,969440,2236011,35.11,14.620204032744132,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,Enefit Energiatootmine AS,EE,Balti Elektrijaam,2015,808847,1408713,35.11,14.158187079572397,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1,Enefit Energiatootmine AS,EE,Balti Elektrijaam,2016,650960,1626481,35.11,14.301929343302568,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
1,Enefit Energiatootmine AS,EE,Balti Elektrijaam,2017,467740,1602600,35.11,14.287137868326107,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
1,Kanteleen Voima Oy,FI,Haapaveden voimalaitos,2009,173678,372351,35.11,12.827592236780411,2,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,Kanteleen Voima Oy,FI,Haapaveden voimalaitos,2010,173678,742385,35.11,13.51762325550863,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,Kanteleen Voima Oy,FI,Haapaveden voimalaitos,2011,173678,493830,35.11,13.10994660738924,2,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,Kanteleen Voima Oy,FI,Haapaveden voimalaitos,2012,173678,208457,35.11,12.247488063939638,2,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,Kanteleen Voima Oy,FI,Haapaveden voimalaitos,2013,0,176127,35.11,12.078960604707834,2,2,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
1,Kanteleen Voima Oy,FI,Haapaveden voimalaitos,2014,0,345426,35.11,12.75253371690512,2,2,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0
1,Kanteleen Voima Oy,FI,Haapaveden voimalaitos,2015,0,49214,35.11,10.803933414848446,2,2,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0
1,Kanteleen Voima Oy,FI,Haapaveden voimalaitos,2016,0,3830,35.11,8.250620082174692,2,2,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0
1,Kanteleen Voima Oy,FI,Haapaveden voimalaitos,2017,0,1764,35.11,7.475339236566737,2,2,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1
1,Cegyco S.A.,LU,Cegyco S.A.,2009,66999,44988,35.11,10.714151066523913,3,3,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,Cegyco S.A.,LU,Cegyco S.A.,2010,66999,53430,35.11,10.886127664951816,3,3,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,Cegyco S.A.,LU,Cegyco S.A.,2011,66999,59052,35.11,10.98617369065398,3,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,Cegyco S.A.,LU,Cegyco S.A.,2012,66999,51228,35.11,10.844041536545962,3,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,Cegyco S.A.,LU,Cegyco S.A.,2013,45226,42118,35.11,10.648230481739724,3,3,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
1,Cegyco S.A.,LU,Cegyco S.A.,2014,44439,36669,35.11,10.509686990445372,3,3,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0
1,Cegyco S.A.,LU,Cegyco S.A.,2015,43652,36882,35.11,10.515478906135064,3,3,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0
1,Cegyco S.A.,LU,Cegyco S.A.,2016,42865,39683,35.11,10.588678163379617,3,3,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0
1,Cegyco S.A.,LU,Cegyco S.A.,2017,42078,36625,35.11,10.50848634631937,3,3,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1
1,A/S “Olaines udens un siltums”,LV,Installation 1,2009,16259,12929,35.30,9.467228129254554,4,4,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,A/S “Olaines udens un siltums”,LV,Installation 1,2010,16259,13846,35.30,9.53575166123797,4,4,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,A/S “Olaines udens un siltums”,LV,Installation 1,2011,16259,12273,35.30,9.415157006597509,4,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,A/S “Olaines udens un siltums”,LV,Installation 1,2012,16259,8031,35.30,8.991064332188461,4,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,A/S “Olaines udens un siltums”,LV,Installation 1,2013,10467,7327,35.30,8.899321434159964,4,4,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
1,A/S “Olaines udens un siltums”,LV,Installation 1,2014,9367,5792,35.30,8.664232934065552,4,4,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0
1,A/S “Olaines udens un siltums”,LV,Installation 1,2015,4149,3156,35.30,8.057060681965766,4,4,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0
1,A/S “Olaines udens un siltums”,LV,Installation 1,2016,3630,4128,35.30,8.325548307161398,4,4,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0
1,A/S “Olaines udens un siltums”,LV,Installation 1,2017,3127,3869,35.30,8.260751354700513,4,4,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1
1,Agder Energi Varme AS,NO,Agder Energi Varme,2009,154,3122,35.30,8.046229101075378,5,5,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,Agder Energi Varme AS,NO,Agder Energi Varme,2010,154,7386,35.30,8.90734159541251,5,5,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,Agder Energi Varme AS,NO,Agder Energi Varme,2011,154,1710,35.30,7.444248649496705,5,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,Agder Energi Varme AS,NO,Agder Energi Varme,2012,154,367,35.30,5.905361848054571,5,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,Agder Energi Varme AS,NO,Agder Energi Varme,2013,4007,462,35.30,6.135564891081739,5,5,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
1,Agder Energi Varme AS,NO,Agder Energi Varme,2014,3585,437,35.30,6.07993319509559,5,5,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0
1,Agder Energi Varme AS,NO,Agder Energi Varme,2015,3176,636,35.30,6.455198563340122,5,5,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0
1,Agder Energi Varme AS,NO,Agder Energi Varme,2016,2778,205,35.30,5.3230099791384085,5,5,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0
1,Agder Energi Varme AS,NO,Agder Energi Varme,2017,2394,34,35.30,3.5263605246161616,5,5,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1
1,PGE Górnictwo i Energetyka Konwencjonalna S.A.,PL,PGE GiEK S.A. Oddział Elektrownia Bełchatów,2009,26937155,29473072,35.11,17.198987590882727,6,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,PGE Górnictwo i Energetyka Konwencjonalna S.A.,PL,PGE GiEK S.A. Oddział Elektrownia Bełchatów,2010,26937155,29659590,35.11,17.20529607124743,6,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,PGE Górnictwo i Energetyka Konwencjonalna S.A.,PL,PGE GiEK S.A. Oddział Elektrownia Bełchatów,2011,26937155,32823146,35.11,17.30664449521756,6,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,PGE Górnictwo i Energetyka Konwencjonalna S.A.,PL,PGE GiEK S.A. Oddział Elektrownia Bełchatów,2012,31749901,35193844,35.11,17.376381738910286,6,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,PGE Górnictwo i Energetyka Konwencjonalna S.A.,PL,PGE GiEK S.A. Oddział Elektrownia Bełchatów,2013,16816401,37178165,35.11,17.431232184547937,6,6,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,PGE Górnictwo i Energetyka Konwencjonalna S.A.,PL,PGE GiEK S.A. Oddział Elektrownia Bełchatów,2014,15541610,36886458,35.11,17.423355049782842,6,6,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,PGE Górnictwo i Energetyka Konwencjonalna S.A.,PL,PGE GiEK S.A. Oddział Elektrownia Bełchatów,2015,13501970,37051920,35.11,17.427830730226013,6,6,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1,PGE Górnictwo i Energetyka Konwencjonalna S.A.,PL,PGE GiEK S.A. Oddział Elektrownia Bełchatów,2016,10282843,34941622,35.11,17.36918928403116,6,6,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
1,PGE Górnictwo i Energetyka Konwencjonalna S.A.,PL,PGE GiEK S.A. Oddział Elektrownia Bełchatów,2017,7788822,37646220,35.11,17.443743108763545,6,6,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
1,ENA Energi AB,SE,HPC Simpan,2009,0,1235,35.30,7.118826249062078,7,7,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,ENA Energi AB,SE,HPC Simpan,2010,0,2559,35.30,7.847371836159788,7,7,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,ENA Energi AB,SE,HPC Simpan,2011,0,724,35.30,6.584791392385716,7,7,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,ENA Energi AB,SE,HPC Simpan,2012,0,2469,35.30,7.81156848934518,7,7,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,ENA Energi AB,SE,HPC Simpan,2013,49202,1444,35.30,7.275172319452771,7,7,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
