registry_code,year,exports,imports,RE,final_electricity_consumption,GDP
AT,2009,18761.878,19542.064,49949.919,59201.268,290558.8
AT,2010,17472.074,19908.697,48174.578,62071.793,295896.6
AT,2011,16777.351,24976.711,44409.141,62132.291,304545.1
AT,2012,20626.749,23429.715,55103.88,62952.105,306617.4
AT,2013,17689.116,24959.57,54171.606,63546.708,306695.6
AT,2014,17436.998,26711.723,53803.531,62557.42,308723.7
AT,2015,19327.647,29389.163,50803.337,63482.625,311855.7
AT,2016,19206.889,26366.16,53959.019,64427.642,318350.4
AT,2017,22816.512,29362.427,54735.94,65286.469,326234.2
BE,2009,11321,9486,6868.655,79662,355348.9
BE,2010,11844,12395,7850.428,85918,365100.5
BE,2011,10652,13189,9603.933999999999,83894,371666.1
BE,2012,6912,16848,11760.093,84416,372538.7
BE,2013,7603,17243,12996.62,84460,373286.3
BE,2014,4188,21791,13384.511,82585,377969.8
BE,2015,2715,23714,15553.017,83138,384544.9
BE,2016,8465,14648,15461,83557,390130.6
BE,2017,8167.8,14189.4,16958.1,83578.5,396897
BG,2009,7735,2662,4300.39,28253,37731
BG,2010,9613,1167,6423.989,28265,38230.5
BG,2011,12110,1449,4708.608,29634,38962.6
BG,2012,10661,2353,6076.298,29187,38974.7
BG,2013,9532,3351,7641.222,28696,39167.2
BG,2014,13774,4319,7946.462,28887,39886.9
BG,2015,14826,4251,9251.512000000001,29625,41271.5
BG,2016,10940,4568,7732.721,30313,42896.2
BG,2017,9185.794,3705.423,6795.955,31399.565,44531.1
CY,2009,,,30.708,4758.355,19045.2
CY,2010,,,73.242,4889.355,19299.5
CY,2011,,,178.212,4729.414,19377.4
CY,2012,,,256.842,4417.429,18819.7
CY,2013,,,327.009,3935.429,17728.3
CY,2014,,,316.922,3972.429,17495.8
CY,2015,,,399.752,4098.429,17839.1
CY,2016,,,424.659,4404.429,18697.5
CY,2017,,,435.211,4546.698,19533.1
CZ,2009,22230,8586,5208.045,57105,153234.6
CZ,2010,21590,6642,6494.261,56157,156718.2
CZ,2011,27501,10457,7946.512,55734,159504.4
CZ,2012,28707,11587,8796.290000000001,55969,158228.6
CZ,2013,27458,10571,10213.386,55123,157463.3
CZ,2014,28142,11842,10223.688,55086,161738.6
CZ,2015,28661,16146,10696.337,56385.417,170325.7
CZ,2016,24791,13817,10585.778,57630.268,174499.6
CZ,2017,28108.9,15072,10791.302,59060.524,182094.9
DE,2009,54132,41859,100508.62,513665,2461533.3
DE,2010,57917,42962,111209.013,547284,2564400
DE,2011,54768,51003,129613.927,540560,2665030.5
DE,2012,66810,46268,149554.724,539516,2676211.6
DE,2013,71415,39222,158149.343,537331,2687672.3
DE,2014,74320,40435,168370.418,525904,2747491.6
DE,2015,85290,37008,193286.973,528133,2795291
DE,2016,78863,28338,193929.101,530374,2857626
DE,2017,80301,27842,222341,531324,2928067.4
DK,2009,10874,11208,10063,32409,238699.3
DK,2010,11734,10599,12429,33018,243165.4
DK,2011,10374,11694,14181,32584,246416
DK,2012,10706,15920,14837,32073,246974.1
DK,2013,10377,11459,15968,32152,249279.2
DK,2014,9847,12702,17992,31569,253316
DK,2015,9733.184999999999,15644.747,18949.668,31749.542,259250.2
DK,2016,9919.365,14976.458,18454.984,32043.791,265471.3
DK,2017,10655.394,15218.109,21915.942,32238.121,271477.3
EE,2009,2943,3025,540.3200000000001,7080,14471.4
EE,2010,4354,1100,1043.883,7431,14863.1
EE,2011,5252,1690,1179.72,7156,15969.1
EE,2012,4950,2710,1476.478,7408,16465.8
