fuel_type,installationidentifier,account_holder,registry_code,installation_name
gas,132,EVN Wärme GmbH,AT,EVN FHKW Mödling
gas,128,EVN Wärme GmbH,AT,EVN FHW Baden
coal,135,EVN AG,AT,EVN KW Dürnrohr Zwentendorf
gas,134,EVN AG,AT,EVN KW Theiß Gedersdorf
oil,60,Energie Steiermark Wärme GmbH,AT,FHKW Graz
oil,38,Stadtwerke Klagenfurt AG,AT,FHKW Klagenfurt Stadtwerke Klagenfurt
gas,148,Wels Strom GmbH,AT,FHKW WelsStrom Wels
,78,Energie AG Oberösterreich Wärme GmbH,AT,FW Kirchdorf
gas,43,LINZ STROM GAS WÄRME GmbH,AT,LS FHKW Mitte Linz Linie 1a
gas,46,LINZ STROM GAS WÄRME GmbH,AT,LS FHKW Süd Linz
gas,32,"Salzburg AG für Energie, Verkehr und Telekommunikation",AT,Salzburg AG FHKW Mitte Salzburg
gas,33,"Salzburg AG für Energie, Verkehr und Telekommunikation",AT,Salzburg AG FHKW Nord Salzburg
,89,Bioenergie Kufstein GmbH,AT,Stadtwerke Kufstein
coal,99,VERBUND Thermal Power GmbH & CO KG,AT,Verbund FHKW Mellach
gas,85,WIEN ENERGIE GmbH,AT,Wienstrom KW Donaustadt Wien
,84,WIEN ENERGIE GmbH,AT,Wienstrom KW Simmering Wien
,219,WIEN ENERGIE GmbH,AT,Wienstrom Simmering Block 1+2
,151,VEOLIA,BE,Dalkia (site de UCL) Louvain-la-Neuve
gas,301,EDF Luminus,BE,EDFL - Angleur TGV1
gas,297,EDF Luminus,BE,EDFL - Centrale Buitenring Wondelgem Gent
gas,298,EDF Luminus,BE,EDFL - Centrale Ham 68 Gent
gas,69,Electrabel,BE,Electrabel - Centrale Drogenbos
gas,70,Electrabel,BE,Electrabel - Centrale Herdersbrug
,79,Electrabel,BE,Electrabel - Turbojet Beerse
,80,Electrabel,BE,Electrabel - Turbojet Noordschote
,81,Electrabel,BE,Electrabel - Turbojet Zedelgem
,82,Electrabel,BE,Electrabel - Turbojet Zeebrugge
,83,Electrabel,BE,Electrabel - Turbojet Zelzate
gas,84,Electrabel,BE,Electrabel Amercoeur-Roux
gas,85,Electrabel,BE,Electrabel Baudour
,93,INOVYN Manufacturing Belgium,BE,INOVYN Cogénération Jemeppe
gas,92,Electrabel,BE,Lanxess - Electrabel
