year,registry_code,accountholder_id_trans_data,installation_id_trans_data,net_ac_tot_inst,net_ac_ext_inst,annual_change_bank_inst,bank_inst,installationidentifier
2009,AT,1,AT_7,0,0,7276,25564,7
2010,AT,1,AT_7,0,0,6464,32028,7
2011,AT,1,AT_7,0,0,5214,37242,7
2012,AT,1,AT_7,0,0,-8662,28580,7
2013,AT,1,AT_7,0,0,10558,39138,7
2014,AT,1,AT_7,0,0,2112,41250,7
2015,AT,1,AT_7,0,0,461,41711,7
2016,AT,1,AT_7,0,0,-293,41418,7
2017,AT,1,AT_7,0,0,-1128,40290,7
2009,AT,31,AT_127,0,0,-2808,1072,127
2010,AT,31,AT_127,1115,0,-1072,0,127
2011,AT,31,AT_127,1090,1090,289,289,127
2012,AT,31,AT_127,5498,0,-289,0,127
2013,AT,31,AT_127,0,0,5322,5322,127
2014,AT,31,AT_127,297,297,1345,6667,127
2015,AT,31,AT_127,0,0,-5288,1379,127
2016,AT,31,AT_127,4000,0,675,2054,127
2017,AT,31,AT_127,0,0,203,2257,127
2009,AT,31,AT_128,0,0,13957,43250,128
2010,AT,31,AT_128,0,0,13553,56803,128
2011,AT,31,AT_128,2451,2451,16567,73370,128
2012,AT,31,AT_128,-31916,-49,-35881,37489,128
2013,AT,31,AT_128,0,0,3994,41483,128
2014,AT,31,AT_128,-6382,-6382,-6699,34784,128
2015,AT,31,AT_128,0,0,-746,34038,128
2016,AT,31,AT_128,0,0,-2973,31065,128
2017,AT,31,AT_128,0,0,-3257,27808,128
2009,AT,31,AT_129,0,0,-20,8942,129
2010,AT,31,AT_129,0,0,-2551,6391,129
2011,AT,31,AT_129,1780,1780,-743,5648,129
2012,AT,31,AT_129,4179,0,-5648,0,129
2013,AT,31,AT_129,0,0,1986,1986,129
2014,AT,31,AT_129,2355,355,-1483,503,129
2015,AT,31,AT_129,6300,0,-405,98,129
2016,AT,31,AT_129,12500,0,4473,4571,129
2017,AT,31,AT_129,1200,0,-4431,140,129
2009,AT,31,AT_131,2594,2594,750,25766,131
2010,AT,31,AT_131,1844,1844,-633,25133,131
2011,AT,31,AT_131,6902,6902,4827,29960,131
2012,AT,31,AT_131,6903,0,-24199,5761,131
2013,AT,31,AT_131,24492,3492,-5267,494,131
2014,AT,31,AT_131,31640,31140,-211,283,131
2015,AT,31,AT_131,83287,57287,57851,58134,131
2016,AT,31,AT_131,0,0,-32845,25289,131
2017,AT,31,AT_131,32845,32845,636,25925,131
2009,AT,31,AT_132,0,0,14434,49222,132
2010,AT,31,AT_132,-1115,0,13334,62556,132
2011,AT,31,AT_132,-23213,-23213,-8684,53872,132
2012,AT,31,AT_132,4371,0,-2353,51519,132
2013,AT,31,AT_132,-7732,-1000,23479,74998,132
2014,AT,31,AT_132,-1484,1016,8843,83841,132
2015,AT,31,AT_132,-32300,0,-24099,59742,132
2016,AT,31,AT_132,-16500,0,-10847,48895,132
2017,AT,31,AT_132,-1200,0,907,49802,132
2009,AT,31,AT_133,0,0,5319,42830,133
2010,AT,31,AT_133,0,0,6950,49780,133
2011,AT,31,AT_133,10669,10669,22975,72755,133
2012,AT,31,AT_133,10669,0,-19049,53706,133
2013,AT,31,AT_133,0,0,34256,87962,133
2014,AT,31,AT_133,2133,2133,2433,90395,133
2015,AT,31,AT_133,0,0,-7100,83295,133
2016,AT,31,AT_133,0,0,-6597,76698,133
2017,AT,31,AT_133,0,0,-3498,73200,133
2009,AT,31,AT_137,0,0,2607,8595,137
2010,AT,31,AT_137,0,0,2567,11162,137
2011,AT,31,AT_137,321,321,3206,14368,137
2012,AT,31,AT_137,247,0,0,14368,137
2013,AT,31,AT_137,-14268,0,-14062,306,137
2014,AT,31,AT_137,1200,1200,1331,1637,137
2015,AT,31,AT_137,0,0,-277,1360,137
2016,AT,31,AT_137,0,0,-41,1319,137
2017,AT,31,AT_137,0,0,-122,1197,137
2009,AT,51,AT_76,0,0,5962,5962,76
2010,AT,51,AT_76,0,0,6268,12230,76
2011,AT,51,AT_76,0,0,6268,18498,76
2009,AT,51,AT_79,0,0,95022,238905,79
2010,AT,51,AT_79,0,0,127121,366026,79
2011,AT,51,AT_79,283368,283368,467282,833308,79
2009,AT,51,AT_80,0,0,20808,74571,80
2010,AT,51,AT_80,0,0,27910,102481,80
2011,AT,51,AT_80,0,0,33825,136306,80
2009,AT,53,AT_194,-4000,-4000,-2090,4205,194
2010,AT,53,AT_194,-2000,-2000,58,4263,194
2011,AT,53,AT_194,0,0,1637,5900,194
2012,AT,53,AT_194,-3708,-3708,-5900,0,194
2013,AT,53,AT_194,0,0,124438,124438,194
2014,AT,53,AT_194,-30000,-30000,-30103,94335,194
2016,AT,53,AT_194,-94335,-94335,-94335,0,194
2009,AT,55,AT_177,-9929,-9929,0,0,177
2010,AT,55,AT_177,-9929,-9929,0,0,177
2011,AT,55,AT_177,-9929,-9929,0,0,177
2009,AT,61,AT_178,0,0,2131,10767,178
2010,AT,61,AT_178,0,0,2014,12781,178
2011,AT,61,AT_178,0,0,1189,13970,178
2012,AT,61,AT_178,0,0,-4690,9280,178
2013,AT,61,AT_178,0,0,2191,11471,178
2014,AT,61,AT_178,2911,2911,1847,13318,178
